"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11,C17";"C_0603_HandSoldering";2;"8.2nF";;;
2;"C50,C52";"C_0603_HandSoldering";2;"100nF";;;
3;"C7,C14";"C_0805_HandSoldering";2;"22uF";;;
4;"C51,C53";"C_0805_HandSoldering";2;"47uF";;;
5;"R66,R62,R172";"R_0402_1005Metric";3;"10K";;;
6;"R65";"R_0402_1005Metric";1;"33.2K";;;
7;"R64,R60,R176,R175,R173,R171,R4";"R_0402_1005Metric";7;"100K";;;
8;"R61";"R_0402_1005Metric";1;"56.2K";;;
9;"U4,U5";"SOT-23-8_Handsoldering";2;"TPS563210";;;
10;"L1";"0805";1;"10uH";;;
11;"L8,L9";"0805";2;"3.3uH";;;
12;"J19,J18,J1,J2,J3,J4,J5,J6,J7,J8,J20,J22,J21,J9,J10,J11";"3MM";16;"OBD Connector";;;
13;"U33,U36,U37,U35,U32,U30,U31,U34";"MSOP-8_3x3mm_Pitch0.65mm";8;"MAX324CUA";;;
14;"U21,U24,U22,U20,U23,U25,U26,U28";"SOIC-14_W3.9mm";8;"CD4070B";;;
15;"IC1";"LQFP-32_7x7mm";1;"TUSB2046B";;;
16;"Y4,Y2,Y3";"HC49UP";3;"12MHz";;;
17;"R55,R57,R143,R139,R17,R15,R14,R13,R12,R11,R16,R111,R95,R107,R53,R54,R43,R69,R79,R32,R75,R72,R71,R70,R59,R58,R31,R33,R34,R35,R36,R37,R38,R52,R40,R41,R42,R56,R44,R45,R46,R47,R48,R49,R50,R51,R39,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R91,R19,R68,R67,R63,R18,R20";"R_0402_1005Metric";64;"10k";;;
18;"J13";"Barrel_Jack_CUI_PJ-102AH";1;"Barrel_Jack_MountingPin";;;
19;"C45,C47,C46";"C-0805";3;"3.3uF";;;
20;"C44";"C-0805";1;"4.7uF";;;
21;"C42,C3,C5,C43,C39,C37,C38,C36";"C-0603";8;"100nF";;;
22;"C48,C49,C2,C1";"C-0603";4;"20pF";;;
23;"C24,C29,C26,C27,C6,C25,C23,C22,C21,C20,C19,C16,C15,C13,C12,C10,C9,C8,C18";"C-0603";19;".01uF";;;
24;"C4";"C-0603";1;"1uF";;;
25;"C28,C30";"C-0805";2;"2.2uF";;;
26;"C31";"C-0805";1;"1uF";;;
27;"C34,C32,C40,C41,C33,C35";"CPL-0805";6;"4.7uF";;;
28;"J15,J17,J14";"Banana_Jack_2Pin";3;"Banana Jack";;;
29;"U3";"TQFP-64_14x14mm_P0.8mm";1;"AT90USB1287-AU";;;
30;"R174";"R_0402_1005Metric";1;"50K";;;
31;"R10,R8,R7";"R_0402_1005Metric";3;"1K";;;
32;"R9,R6,R5";"R_0402_1005Metric";3;"12K";;;
33;"R3";"R_0402_1005Metric";1;"1M";;;
34;"R2,R1";"R_0402_1005Metric";2;"R120";;;
35;"Y1";"HC49UP";1;"16MHz";;;
36;"Y5";"HC49UP";1;"6MHz";;;
37;"L7,L4,L2,L6,L3,L5";"0603";6;"L_Core_Ferrite";;;
38;"Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10";"DO-35";10;"1N5231BTR";;;
39;"U14,U15,U18";"LQFP-64_10x10mm";3;"FT4232HL-REEL";;;
40;"J12";"PinHeader_2x6_P2.54mm_Vertical_SMD";1;"0015912120";;;
41;"RLY4,RLY5,RLY6,RLY3,RLY1,RLY7,RLY8,RLY9,RLY10,RLY2";"Relay_THT_G5LE-14";10;"G5LE-14_DC5";;;
42;"U16,U2,U1";"SOIC-16_W3.90mm";3;"DG408LE";;;
43;"Q2,Q1";"SOIC-16_W3.90mm";2;"ULN2003ADR";;;
44;"U6";"SOT-23-6";1;"LM2776";;;
45;"Q24,Q4,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q6,Q22,Q21,Q20,Q19,Q18,Q15,Q16,Q17,Q5,Q28,Q27,Q26,Q25,Q23,Q29,Q30,Q7,Q38,Q37,Q36,Q35";"SOT-363";32;"2N7002DW";;;
46;"U19";"SSOP-24_W5.30mm";1;"CD74HC4067SM96";;;
47;"S1";"Switch_Tactile_THT_6x6mm";1;"1825910-6";;;
48;"S3,S2";"Switch_Toggle_ATE1D-2M3-10-Z";2;"ATE1D-2M3-10-Z";;;
49;"U17";"TO-92-3";1;"DS18B20_";;;
50;"U8,U10,U9,U7,U11,U12,U13";"TSSOP-16-1EP_W4.40mm";7;"MAX14752";;;
51;"J16";"USB_Type_C_Female__12401610E4_2A";1;"12401610E4_2A";;;
