Id,Designator,Quantity,Designation,,Package,MFC/PN,DigiKey Link,Supplier and ref
1,"C11,C17",2,8.2nF,,C_0603_HandSoldering,C0603C822K5RACTU ,https://www.digikey.com/product-detail/en/C0603C822K5RACTU/399-7961-1-ND/3471684?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
2,"C50,C52",2,100nF,,C_0603_HandSoldering,06035C104K4T2A ,https://www.digikey.com/product-detail/en/06035C104K4T2A/478-5309-1-ND/1950976?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
3,"C7,C14",2,22uF,,C_0805_HandSoldering,GRM21BR60J226ME39L ,https://www.digikey.com/product-detail/en/GRM21BR60J226ME39L/490-1719-1-ND/587424?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
4,"C51,C53",2,47uF,,C_0805_HandSoldering,GRM21BR60J476ME15L ,https://www.digikey.com/product-detail/en/GRM21BR60J476ME15L/490-9960-1-ND/5026440?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
5,"R66,R62,R172",3,10K,,R_0402_1005Metric,CRCW040210K0FKED ,https://www.digikey.com/product-detail/en/CRCW040210K0FKED/541-10.0KLDKR-ND/1183734?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
6,R65,1,33.2K,,R_0402_1005Metric,RC0402FR-0733K2L ,https://www.digikey.com/product-detail/en/RC0402FR-0733K2L/311-33.2KLRCT-ND/2827962?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
7,"R64,R60,R176,R175,R173,R171,R4",7,100K,,R_0402_1005Metric,CRCW0402100KFKED ,https://www.digikey.com/product-detail/en/CRCW0402100KFKED/541-100KLCT-ND/1183351?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
8,R61,1,56.2K,,R_0402_1005Metric,CRCW040256K2FKED ,https://www.digikey.com/product-detail/en/CRCW040256K2FKED/541-56.2KLCT-ND/1183323?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
9,"U4,U5",2,TPS563210,,SOT-23-8_Handsoldering,TPS563210,TPS563210,
10,L1,1,10uH,,805,LQM21FN100M80L ,https://www.digikey.com/product-detail/en/CV201210-100K/CV201210-100KCT-ND/3438035?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
